slope_pct,raw_speed_kmh,current_speed_kmh,walk_bike_speed_kmh,hybrid_routing_speed_kmh
-35.86,-129.022,0,1.41576,0.25
-35.84,-128.985,0,1.41675,0.25
-35.82,-128.947,0,1.41774,0.25
-35.8,-128.91,0,1.41873,0.25
-35.78,-128.872,0,1.41972,0.25
-35.76,-128.835,0,1.42072,0.25
-35.74,-128.797,0,1.42171,0.25
-35.72,-128.76,0,1.42271,0.25
-35.7,-128.722,0,1.42371,0.25
-35.68,-128.685,0,1.4247,0.25
-35.66,-128.647,0,1.4257,0.25
-35.64,-128.61,0,1.4267,0.25
-35.62,-128.572,0,1.4277,0.25
-35.6,-128.534,0,1.4287,0.25
-35.58,-128.497,0,1.4297,0.25
-35.56,-128.459,0,1.4307,0.25
-35.54,-128.422,0,1.4317,0.25
-35.52,-128.384,0,1.4327,0.25
-35.5,-128.346,0,1.43371,0.25
-35.48,-128.309,0,1.43471,0.25
-35.46,-128.271,0,1.43571,0.25
-35.44,-128.233,0,1.43672,0.25
-35.42,-128.196,0,1.43773,0.25
-35.4,-128.158,0,1.43873,0.25
-35.38,-128.12,0,1.43974,0.25
-35.36,-128.083,0,1.44075,0.25
-35.34,-128.045,0,1.44176,0.25
-35.32,-128.007,0,1.44277,0.25
-35.3,0,0,1.44378,0.25
-35.28,0,0,1.44479,0.25
-35.26,0,0,1.4458,0.25
-35.24,0,0,1.44681,0.25
-35.22,0,0,1.44783,0.25
-35.2,0,0,1.44884,0.25
-35.18,0,0,1.44985,0.25
-35.16,0,0,1.45087,0.25
-35.14,0,0,1.45189,0.25
-35.12,0,0,1.4529,0.25
-35.1,0,0,1.45392,0.25
-35.08,0,0,1.45494,0.25
-35.06,0,0,1.45596,0.25
-35.04,0,0,1.45698,0.25
-35.02,0,0,1.458,0.25
-35,0,0,1.45902,0.25
-34.98,0,0,1.46004,0.25
-34.96,0,0,1.46106,0.25
-34.94,0,0,1.46208,0.25
-34.92,0,0,1.46311,0.25
-34.9,0,0,1.46413,0.25
-34.88,0,0,1.46516,0.25
-34.86,0,0,1.46618,0.25
-34.84,0,0,1.46721,0.25
-34.82,0,0,1.46824,0.25
-34.8,0,0,1.46927,0.25
-34.78,0,0,1.47029,0.25
-34.76,0,0,1.47132,0.25
-34.74,0,0,1.47235,0.25
-34.72,0,0,1.47339,0.25
-34.7,0,0,1.47442,0.25
-34.68,0,0,1.47545,0.25
-34.66,0,0,1.47648,0.25
-34.64,0,0,1.47752,0.25
-34.62,0,0,1.47855,0.25
-34.6,0,0,1.47959,0.25
-34.58,0,0,1.48062,0.25
-34.56,0,0,1.48166,0.25
-34.54,0,0,1.4827,0.25
-34.52,0,0,1.48374,0.25
-34.5,0,0,1.48477,0.25
-34.48,0,0,1.48581,0.25
-34.46,0,0,1.48685,0.25
-34.44,0,0,1.4879,0.25
-34.42,0,0,1.48894,0.25
-34.4,0,0,1.48998,0.25
-34.38,0,0,1.49102,0.25
-34.36,0,0,1.49207,0.25
-34.34,0,0,1.49311,0.25
-34.32,0,0,1.49416,0.25
-34.3,0,0,1.4952,0.25
-34.28,0,0,1.49625,0.25
-34.26,0,0,1.4973,0.25
-34.24,0,0,1.49835,0.25
-34.22,0,0,1.4994,0.25
-34.2,0,0,1.50045,0.25
-34.18,0,0,1.5015,0.25
-34.16,0,0,1.50255,0.25
-34.14,0,0,1.5036,0.25
-34.12,0,0,1.50465,0.25
-34.1,0,0,1.50571,0.25
-34.08,0,0,1.50676,0.25
-34.06,0,0,1.50782,0.25
-34.04,0,0,1.50887,0.25
-34.02,0,0,1.50993,0.25
-34,0,0,1.51099,0.25
-33.98,0,0,1.51204,0.25
-33.96,0,0,1.5131,0.25
-33.94,0,0,1.51416,0.25
-33.92,0,0,1.51522,0.25
-33.9,0,0,1.51628,0.25
-33.88,0,0,1.51735,0.25
-33.86,0,0,1.51841,0.25
-33.84,0,0,1.51947,0.25
-33.82,0,0,1.52054,0.25
-33.8,0,0,1.5216,0.25
-33.78,0,0,1.52267,0.25
-33.76,0,0,1.52373,0.25
-33.74,0,0,1.5248,0.25
-33.72,0,0,1.52587,0.25
-33.7,0,0,1.52694,0.25
-33.68,0,0,1.52801,0.25
-33.66,0,0,1.52907,0.25
-33.64,0,0,1.53015,0.25
-33.62,0,0,1.53122,0.25
-33.6,0,0,1.53229,0.25
-33.58,0,0,1.53336,0.25
-33.56,0,0,1.53444,0.25
-33.54,0,0,1.53551,0.25
-33.52,0,0,1.53659,0.25
-33.5,0,0,1.53766,0.25
-33.48,0,0,1.53874,0.25
-33.46,0,0,1.53982,0.25
-33.44,0,0,1.54089,0.25
-33.42,0,0,1.54197,0.25
-33.4,0,0,1.54305,0.25
-33.38,0,0,1.54413,0.25
-33.36,0,0,1.54521,0.25
-33.34,0,0,1.5463,0.25
-33.32,0,0,1.54738,0.25
-33.3,0,0,1.54846,0.25
-33.28,0,0,1.54955,0.25
-33.26,0,0,1.55063,0.25
-33.24,0,0,1.55172,0.25
-33.22,0,0,1.5528,0.25
-33.2,0,0,1.55389,0.25
-33.18,0,0,1.55498,0.25
-33.16,0,0,1.55607,0.25
-33.14,0,0,1.55716,0.25
-33.12,0,0,1.55825,0.25
-33.1,0,0,1.55934,0.25
-33.08,0,0,1.56043,0.25
-33.06,0,0,1.56153,0.25
-33.04,0,0,1.56262,0.25
-33.02,0,0,1.56371,0.25
-33,0,0,1.56481,0.25
-32.98,0,0,1.5659,0.25
-32.96,0,0,1.567,0.25
-32.94,0,0,1.5681,0.25
-32.92,0,0,1.5692,0.25
-32.9,0,0,1.57029,0.25
-32.88,0,0,1.57139,0.25
-32.86,0,0,1.57249,0.25
-32.84,0,0,1.5736,0.25
-32.82,0,0,1.5747,0.25
-32.8,0,0,1.5758,0.25
-32.78,0,0,1.5769,0.25
-32.76,0,0,1.57801,0.25
-32.74,0,0,1.57911,0.25
-32.72,0,0,1.58022,0.25
-32.7,0,0,1.58132,0.25
-32.68,0,0,1.58243,0.25
-32.66,0,0,1.58354,0.25
-32.64,0,0,1.58465,0.25
-32.62,0,0,1.58576,0.25
-32.6,0,0,1.58687,0.25
-32.58,0,0,1.58798,0.25
-32.56,0,0,1.58909,0.25
-32.54,0,0,1.59021,0.25
-32.52,0,0,1.59132,0.25
-32.5,0,0,1.59243,0.25
-32.48,0,0,1.59355,0.25
-32.46,0,0,1.59466,0.25
-32.44,0,0,1.59578,0.25
-32.42,0,0,1.5969,0.25
-32.4,0,0,1.59802,0.25
-32.38,0,0,1.59914,0.25
-32.36,0,0,1.60025,0.25
-32.34,0,0,1.60138,0.25
-32.32,0,0,1.6025,0.25
-32.3,0,0,1.60362,0.25
-32.28,0,0,1.60474,0.25
-32.26,0,0,1.60587,0.25
-32.24,0,0,1.60699,0.25
-32.22,0,0,1.60812,0.25
-32.2,0,0,1.60924,0.25
-32.18,0,0,1.61037,0.25
-32.16,0,0,1.6115,0.25
-32.14,0,0,1.61262,0.25
-32.12,0,0,1.61375,0.25
-32.1,0,0,1.61488,0.25
-32.08,0,0,1.61601,0.25
-32.06,0,0,1.61715,0.25
-32.04,0,0,1.61828,0.25
-32.02,0,0,1.61941,0.25
-32,0,0,1.62055,0.25
-31.98,0,0,1.62168,0.25
-31.96,0,0,1.62282,0.25
-31.94,0,0,1.62395,0.25
-31.92,0,0,1.62509,0.25
-31.9,0,0,1.62623,0.25
-31.88,0,0,1.62737,0.25
-31.86,0,0,1.62851,0.25
-31.84,0,0,1.62965,0.25
-31.82,0,0,1.63079,0.25
-31.8,0,0,1.63193,0.25
-31.78,0,0,1.63307,0.25
-31.76,0,0,1.63422,0.25
-31.74,0,0,1.63536,0.25
-31.72,0,0,1.63651,0.25
-31.7,0,0,1.63765,0.25
-31.68,0,0,1.6388,0.25
-31.66,0,0,1.63995,0.25
-31.64,0,0,1.64109,0.25
-31.62,0,0,1.64224,0.25
-31.6,0,0,1.64339,0.25
-31.58,0,0,1.64454,0.25
-31.56,0,0,1.6457,0.25
-31.54,0,0,1.64685,0.25
-31.52,0,0,1.648,0.25
-31.5,0,0,1.64915,0.25
-31.48,121.134,24,1.65031,0.25
-31.46,121.094,24,1.65147,0.25
-31.44,121.055,24,1.65262,0.25
-31.42,121.015,24,1.65378,0.25
-31.4,120.975,24,1.65494,0.25
-31.38,120.935,24,1.6561,0.25
-31.36,120.895,24,1.65726,0.25
-31.34,120.856,24,1.65842,0.25
-31.32,120.816,24,1.65958,0.25
-31.3,120.776,24,1.66074,0.25
-31.28,120.736,24,1.6619,0.25
-31.26,120.696,24,1.66307,0.25
-31.24,120.656,24,1.66423,0.25
-31.22,120.616,24,1.6654,0.25
-31.2,120.577,24,1.66656,0.25
-31.18,120.537,24,1.66773,0.25
-31.16,120.497,24,1.6689,0.25
-31.14,120.457,24,1.67007,0.25
-31.12,120.417,24,1.67124,0.25
-31.1,120.377,24,1.67241,0.25
-31.08,120.337,24,1.67358,0.25
-31.06,120.297,24,1.67475,0.25
-31.04,120.257,24,1.67592,0.25
-31.02,120.217,24,1.67709,0.25
